Task: 1, Test Name: Check tooltips count with hover, DOM Id: A__tooltip__225, Viewport: 1200x700, Browser: chrome, Device: Laptop, Status: Fail
Task: 1, Test Name: Check tooltips count with hover, DOM Id: A__tooltip__225, Viewport: 1200x700, Browser: firefox, Device: Laptop, Status: Fail
Task: 1, Test Name: Check tooltips count with hover, DOM Id: A__tooltip__225, Viewport: 500x700, Browser: chrome, Device: iPhone X, Status: Fail
Task: 1, Test Name: Check tooltips count with hover, DOM Id: A__tooltip__225, Viewport: 768x700, Browser: MicrosoftEdge, Device: Tablet, Status: Fail
Task: 1, Test Name: Check tooltips count with hover, DOM Id: A__tooltip__225, Viewport: 768x700, Browser: chrome, Device: Tablet, Status: Fail
Task: 1, Test Name: Check tooltips count with hover, DOM Id: A__tooltip__225, Viewport: 768x700, Browser: firefox, Device: Tablet, Status: Fail
Task: 1, Test Name: Check wishlist icon visibility, DOM Id: A__wishlist__52, Viewport: 1200x700, Browser: MicrosoftEdge, Device: Laptop, Status: Pass
Task: 1, Test Name: Check wishlist icon visibility, DOM Id: A__wishlist__52, Viewport: 1200x700, Browser: chrome, Device: Laptop, Status: Pass
Task: 1, Test Name: Check wishlist icon visibility, DOM Id: A__wishlist__52, Viewport: 1200x700, Browser: firefox, Device: Laptop, Status: Pass
Task: 1, Test Name: Check wishlist icon visibility, DOM Id: A__wishlist__52, Viewport: 500x700, Browser: chrome, Device: iPhone X, Status: Fail
Task: 1, Test Name: Check wishlist icon visibility, DOM Id: A__wishlist__52, Viewport: 768x700, Browser: MicrosoftEdge, Device: Tablet, Status: Fail
Task: 1, Test Name: Check wishlist icon visibility, DOM Id: A__wishlist__52, Viewport: 768x700, Browser: chrome, Device: Tablet, Status: Fail
Task: 1, Test Name: Check wishlist icon visibility, DOM Id: A__wishlist__52, Viewport: 768x700, Browser: firefox, Device: Tablet, Status: Fail
Task: 2, Test Name: Filter by 'Black'. Ensure 2 products are displayed, DOM Id: null, Viewport: 1200x700, Browser: MicrosoftEdge, Device: Laptop, Status: Fail
Task: 2, Test Name: Filter by 'Black'. Ensure 2 products are displayed, DOM Id: null, Viewport: 1200x700, Browser: chrome, Device: Laptop, Status: Fail
Task: 2, Test Name: Filter by 'Black'. Ensure 2 products are displayed, DOM Id: null, Viewport: 1200x700, Browser: firefox, Device: Laptop, Status: Fail
Task: 2, Test Name: Filter by 'Black'. Ensure 2 products are displayed, DOM Id: null, Viewport: 500x700, Browser: chrome, Device: iPhone X, Status: Fail
Task: 2, Test Name: Filter by 'Black'. Ensure 2 products are displayed, DOM Id: null, Viewport: 768x700, Browser: MicrosoftEdge, Device: Tablet, Status: Fail
Task: 2, Test Name: Filter by 'Black'. Ensure 2 products are displayed, DOM Id: null, Viewport: 768x700, Browser: chrome, Device: Tablet, Status: Fail
Task: 2, Test Name: Filter by 'Black'. Ensure 2 products are displayed, DOM Id: null, Viewport: 768x700, Browser: firefox, Device: Tablet, Status: Fail
Task: 3, Test Name: Check correct new price visibility, DOM Id: n/a, Viewport: 1200x700, Browser: MicrosoftEdge, Device: Laptop, Status: Fail
Task: 3, Test Name: Check correct new price visibility, DOM Id: n/a, Viewport: 1200x700, Browser: chrome, Device: Laptop, Status: Fail
Task: 3, Test Name: Check correct new price visibility, DOM Id: n/a, Viewport: 1200x700, Browser: firefox, Device: Laptop, Status: Fail
Task: 3, Test Name: Check correct new price visibility, DOM Id: n/a, Viewport: 500x700, Browser: chrome, Device: iPhone X, Status: Fail
Task: 3, Test Name: Check correct new price visibility, DOM Id: n/a, Viewport: 768x700, Browser: MicrosoftEdge, Device: Tablet, Status: Fail
Task: 3, Test Name: Check correct new price visibility, DOM Id: n/a, Viewport: 768x700, Browser: chrome, Device: Tablet, Status: Fail
Task: 3, Test Name: Check correct new price visibility, DOM Id: n/a, Viewport: 768x700, Browser: firefox, Device: Tablet, Status: Fail
Task: 3, Test Name: Check invalid rating visibility, DOM Id: EM__ratingcoun__82, Viewport: 1200x700, Browser: MicrosoftEdge, Device: Laptop, Status: Fail
Task: 3, Test Name: Check invalid rating visibility, DOM Id: EM__ratingcoun__82, Viewport: 1200x700, Browser: chrome, Device: Laptop, Status: Fail
Task: 3, Test Name: Check invalid rating visibility, DOM Id: EM__ratingcoun__82, Viewport: 1200x700, Browser: firefox, Device: Laptop, Status: Fail
Task: 3, Test Name: Check invalid rating visibility, DOM Id: EM__ratingcoun__82, Viewport: 500x700, Browser: chrome, Device: iPhone X, Status: Fail
Task: 3, Test Name: Check invalid rating visibility, DOM Id: EM__ratingcoun__82, Viewport: 768x700, Browser: MicrosoftEdge, Device: Tablet, Status: Fail
Task: 3, Test Name: Check invalid rating visibility, DOM Id: EM__ratingcoun__82, Viewport: 768x700, Browser: chrome, Device: Tablet, Status: Fail
Task: 3, Test Name: Check invalid rating visibility, DOM Id: EM__ratingcoun__82, Viewport: 768x700, Browser: firefox, Device: Tablet, Status: Fail
Task: 3, Test Name: Check old price css attribute: text-decoration-color, DOM Id: n/a, Viewport: 1200x700, Browser: MicrosoftEdge, Device: Laptop, Status: Pass
Task: 3, Test Name: Check old price css attribute: text-decoration-color, DOM Id: n/a, Viewport: 1200x700, Browser: chrome, Device: Laptop, Status: Pass
Task: 3, Test Name: Check old price css attribute: text-decoration-color, DOM Id: n/a, Viewport: 1200x700, Browser: firefox, Device: Laptop, Status: Pass
Task: 3, Test Name: Check old price css attribute: text-decoration-color, DOM Id: n/a, Viewport: 500x700, Browser: chrome, Device: iPhone X, Status: Fail
Task: 3, Test Name: Check old price css attribute: text-decoration-color, DOM Id: n/a, Viewport: 768x700, Browser: MicrosoftEdge, Device: Tablet, Status: Pass
Task: 3, Test Name: Check old price css attribute: text-decoration-color, DOM Id: n/a, Viewport: 768x700, Browser: chrome, Device: Tablet, Status: Pass
Task: 3, Test Name: Check old price css attribute: text-decoration-color, DOM Id: n/a, Viewport: 768x700, Browser: firefox, Device: Tablet, Status: Pass
Task: 3, Test Name: Check old price css attribute: text-decoration-line, DOM Id: n/a, Viewport: 1200x700, Browser: MicrosoftEdge, Device: Laptop, Status: Pass
Task: 3, Test Name: Check old price css attribute: text-decoration-line, DOM Id: n/a, Viewport: 1200x700, Browser: chrome, Device: Laptop, Status: Pass
Task: 3, Test Name: Check old price css attribute: text-decoration-line, DOM Id: n/a, Viewport: 1200x700, Browser: firefox, Device: Laptop, Status: Pass
Task: 3, Test Name: Check old price css attribute: text-decoration-line, DOM Id: n/a, Viewport: 500x700, Browser: chrome, Device: iPhone X, Status: Fail
Task: 3, Test Name: Check old price css attribute: text-decoration-line, DOM Id: n/a, Viewport: 768x700, Browser: MicrosoftEdge, Device: Tablet, Status: Pass
Task: 3, Test Name: Check old price css attribute: text-decoration-line, DOM Id: n/a, Viewport: 768x700, Browser: chrome, Device: Tablet, Status: Pass
Task: 3, Test Name: Check old price css attribute: text-decoration-line, DOM Id: n/a, Viewport: 768x700, Browser: firefox, Device: Tablet, Status: Pass
Task: 3, Test Name: Check sku visibility, DOM Id: SMALL____84, Viewport: 1200x700, Browser: MicrosoftEdge, Device: Laptop, Status: Pass
Task: 3, Test Name: Check sku visibility, DOM Id: SMALL____84, Viewport: 1200x700, Browser: chrome, Device: Laptop, Status: Pass
Task: 3, Test Name: Check sku visibility, DOM Id: SMALL____84, Viewport: 1200x700, Browser: firefox, Device: Laptop, Status: Pass
Task: 3, Test Name: Check sku visibility, DOM Id: SMALL____84, Viewport: 500x700, Browser: chrome, Device: iPhone X, Status: Pass
Task: 3, Test Name: Check sku visibility, DOM Id: SMALL____84, Viewport: 768x700, Browser: MicrosoftEdge, Device: Tablet, Status: Pass
Task: 3, Test Name: Check sku visibility, DOM Id: SMALL____84, Viewport: 768x700, Browser: chrome, Device: Tablet, Status: Pass
Task: 3, Test Name: Check sku visibility, DOM Id: SMALL____84, Viewport: 768x700, Browser: firefox, Device: Tablet, Status: Pass
Task: 3, Test Name: Check small size option visibility, DOM Id: n/a, Viewport: 1200x700, Browser: MicrosoftEdge, Device: Laptop, Status: Fail
Task: 3, Test Name: Check small size option visibility, DOM Id: n/a, Viewport: 1200x700, Browser: chrome, Device: Laptop, Status: Fail
Task: 3, Test Name: Check small size option visibility, DOM Id: n/a, Viewport: 1200x700, Browser: firefox, Device: Laptop, Status: Fail
Task: 3, Test Name: Check small size option visibility, DOM Id: n/a, Viewport: 500x700, Browser: chrome, Device: iPhone X, Status: Fail
Task: 3, Test Name: Check small size option visibility, DOM Id: n/a, Viewport: 768x700, Browser: MicrosoftEdge, Device: Tablet, Status: Fail
Task: 3, Test Name: Check small size option visibility, DOM Id: n/a, Viewport: 768x700, Browser: chrome, Device: Tablet, Status: Fail
Task: 3, Test Name: Check small size option visibility, DOM Id: n/a, Viewport: 768x700, Browser: firefox, Device: Tablet, Status: Fail
Task: 3, Test Name: Check valid rating visibility, DOM Id: EM__ratingcoun__82, Viewport: 1200x700, Browser: MicrosoftEdge, Device: Laptop, Status: Pass
Task: 3, Test Name: Check valid rating visibility, DOM Id: EM__ratingcoun__82, Viewport: 1200x700, Browser: chrome, Device: Laptop, Status: Pass
Task: 3, Test Name: Check valid rating visibility, DOM Id: EM__ratingcoun__82, Viewport: 1200x700, Browser: firefox, Device: Laptop, Status: Pass
Task: 3, Test Name: Check valid rating visibility, DOM Id: EM__ratingcoun__82, Viewport: 500x700, Browser: chrome, Device: iPhone X, Status: Pass
Task: 3, Test Name: Check valid rating visibility, DOM Id: EM__ratingcoun__82, Viewport: 768x700, Browser: MicrosoftEdge, Device: Tablet, Status: Pass
Task: 3, Test Name: Check valid rating visibility, DOM Id: EM__ratingcoun__82, Viewport: 768x700, Browser: chrome, Device: Tablet, Status: Pass
Task: 3, Test Name: Check valid rating visibility, DOM Id: EM__ratingcoun__82, Viewport: 768x700, Browser: firefox, Device: Tablet, Status: Pass
